Role,Soft Skills,Tech Stack,Experience (Years),Salary Range (LKR/Month)
WordPress Developer Intern,"Learning mindset, Content management awareness, Problem-solving, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Node.js Developer Intern,"Problem-solving, Learning orientation, Asynchronous thinking, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Go Developer Intern,"Problem-solving, Learning mindset, System thinking, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Data Science Intern,"Analytical thinking, Learning mindset, Communication, Data curiosity","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Machine Learning Intern,"Research mindset, Problem-solving, Learning orientation, Experimentation","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
AI/ML Engineer Trainee,"Research-driven, Problem-solving, Learning agility, Experimentation","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Data Engineer Intern,"Problem-solving, System thinking, Learning mindset, Documentation","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Database Administration Intern,"Learning orientation, Attention to detail, Problem-solving, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
DevOps Intern,"Automation thinking, Problem-solving, Learning mindset, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Cloud Computing Intern (AWS),"Learning mindset, Cloud thinking, Problem-solving, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Cloud Computing Intern (Azure),"Learning orientation, Cloud awareness, Problem-solving, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Network Engineer Intern,"Problem-solving, Learning mindset, Network thinking, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
IT Support Intern,"Communication, Problem-solving, Patience, Learning mindset","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Help Desk Intern,"Customer service orientation, Problem-solving, Learning mindset, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
System Administrator Intern,"Learning mindset, System awareness, Problem-solving, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Cybersecurity Trainee,"Security mindset, Learning orientation, Problem-solving, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Penetration Testing Intern,"Research orientation, Problem-solving, Learning mindset, Curiosity","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Information Security Intern,"Security awareness, Learning mindset, Problem-solving, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
QA Manual Tester Intern,"Attention to detail, Learning mindset, Documentation, Problem-solving","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
QA Automation Intern,"Problem-solving, Analytical skills, Learning orientation, Automation thinking","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Performance Testing Intern,"Attention to performance, Learning mindset, Problem-solving, Analysis","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
UI/UX Designer Intern,"Creativity, Design thinking, Learning mindset, User empathy","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Graphic Design Intern,"Creativity, Visual thinking, Learning mindset, Design awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Business Analyst Intern,"Communication, Analytical thinking, Learning mindset, Stakeholder awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Systems Analyst Intern,"Analytical thinking, Problem-solving, Learning mindset, System awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Solutions Architect Trainee,"Learning orientation, Strategic thinking, Problem-solving, Mentoring receptiveness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
IT Project Manager Trainee,"Organization skills, Learning mindset, Communication, Adaptability","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Scrum Master Trainee,"Adaptability, Learning orientation, Team facilitation, Agile mindset","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Technical Writer Intern,"Communication skills, Learning mindset, Technical writing, Organization","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
IT Trainer Intern,"Communication skills, Learning mindset, Training delivery, Patience","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
IT Consultant Trainee,"Communication, Problem-solving, Advisory learning, Strategic thinking","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Business Intelligence Intern,"Analytical thinking, Learning mindset, Problem-solving, Data awareness","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Database Developer Intern,"Problem-solving, Learning orientation, SQL awareness, Documentation","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Application Support Intern,"Communication, Learning mindset, Support orientation, Problem-solving","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
IT Operations Intern,"Learning mindset, Operational thinking, Problem-solving, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
Infrastructure Engineer Intern,"Problem-solving, Learning orientation, Infrastructure thinking, Teamwork","JavaScript/TypeScript, React/Vue, Node.js, HTML/CSS, Git basics",Fresh graduate / Final year student,"0-25,000 (Unpaid) | 25,000-50,000 (Paid internship)"
